"","PLAYERNAME","ESPNID","url"
"158","Austin Barnes",32856,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32856.png"
"159","Brandon Barnes",30732,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30732.png"
"160","Darwin Barney",29567,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29567.png"
"161","Danny Barnes",32499,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32499.png"
"162","Jacob Barnes",34868,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34868.png"
"163","Matt Barnes",32147,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32147.png"
"164","Scott Barnes",30789,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30789.png"
"165","Tony Barnette",30181,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30181.png"
"166","Tucker Barnhart",31173,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31173.png"
"167","Kyle Barraclough",34830,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34830.png"
"168","Aaron Barrett",33005,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33005.png"
"169","Franklin Barreto",33226,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33226.png"
"170","Jake Barrett",33120,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33120.png"
"171","Tres Barrera",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"172","Jaime Barria",34956,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34956.png"
"173","Joey Bart",41168,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41168.png"
"174","Jason Bartlett",6044,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6044.png"
"175","Daric Barton",6397,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6397.png"
"176","Anthony Bass",31144,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31144.png"
"177","Chris Bassitt",33148,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33148.png"
"178","Antonio Bastardo",30105,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30105.png"
"179","Miguel Batista",2657,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/2657.png"
"180","Jake Bauers",35013,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35013.png"
"181","Trevor Bauer",32014,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32014.png"
"182","Jose Bautista",5890,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5890.png"
"183","Rafael Bautista",33510,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33510.png"
"184","Mike Baxter",29723,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29723.png"
"185","Jason Bay",5496,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5496.png"
"186","Shane Baz",39639,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39639.png"
"187","Brandon Beachy",30962,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30962.png"
"188","Matt Beaty",37004,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37004.png"
"189","Blake Beavan",31018,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31018.png"
"190","Chad Beck",32027,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32027.png"
"191","Chris Beck",32826,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32826.png"
"192","Josh Beckett",4242,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4242.png"
"193","Gordon Beckham",30117,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30117.png"
"194","Tim Beckham",30212,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30212.png"
"195","Erik Bedard",5099,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5099.png"
"196","David Bednar",38303,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38303.png"
"197","Cam Bedrosian",31716,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31716.png"
"198","Tyler Beede",33798,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33798.png"
"199","Jalen Beeks",36723,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36723.png"
"200","Dallas Beeler",33099,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33099.png"
"201","Seth Beer",41224,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41224.png"
"202","Matt Belisle",5829,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5829.png"
"203","Ronald Belisario",29680,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29680.png"
"204","Jeff Beliveau",32037,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32037.png"
"205","Chad Bell",32876,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32876.png"
"206","Heath Bell",6084,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6084.png"
"207","Cody Bellinger",33912,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33912.png"
"208","Josh Bell",32517,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32517.png"
"209","Duane Below",3132,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3132.png"
"210","Brandon Belt",30901,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30901.png"
"211","Adrian Beltre",3878,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3878.png"
"212","Carlos Beltran",3971,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3971.png"
"213","Anthony Bemboom",34102,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34102.png"
"214","Anthony Bender",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"215","Andrew Benintendi",34986,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34986.png"
"216","Joaquin Benoit",4588,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4588.png"
"217","Joe Benson",30849,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30849.png"
"218","Christian Bergman",33270,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33270.png"
"219","Lance Berkman",4118,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4118.png"
"220","Roger Bernadina",29173,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29173.png"
"221","Jose Berrios",32811,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32811.png"
"222","Quintin Berry",30418,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30418.png"
"223","Jon Berti",32273,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32273.png"
"224","Dellin Betances",31122,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31122.png"
"225","Rafael Betancourt",3985,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3985.png"
"226","Yuniesky Betancourt",6218,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6218.png"
"227","Wilson Betemit",4968,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/4968.png"
